sep=,
TimeStamp,Time [s]
TimeStamp 1,1713.7715878
TimeStamp 2,10774.632655600004
TimeStamp 3,19787.340357999994
TimeStamp 4,28789.0553595
TimeStamp 5,37798.7545383
TimeStamp 6,46797.00647639999
TimeStamp 7,55788.2226172
TimeStamp 8,64808.492656200004
TimeStamp 9,73795.3022356
TimeStamp 10,82806.07868379999
TimeStamp 11,91789.129974
TimeStamp 12,100794.8092282
TimeStamp 13,109803.12406850001
TimeStamp 14,118794.1677855
TimeStamp 15,127802.10547380002
TimeStamp 16,136801.72187779998
TimeStamp 17,145797.26051370002
TimeStamp 18,154807.3409922
TimeStamp 19,163794.6997115
TimeStamp 20,172795.56350230004
TimeStamp 21,181806.03272499997
TimeStamp 22,190796.6133922
TimeStamp 23,199804.90885000004
TimeStamp 24,208813.37584259998
TimeStamp 25,217803.8982586
TimeStamp 26,226801.8809871
TimeStamp 27,235803.81733530003
TimeStamp 28,244815.83761659998
TimeStamp 29,253813.46116009998
TimeStamp 30,262807.6384177
